accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
brm_001,female,alw001,210,0.9843177188010442,0.9855198264122009,0.962532639503479,0.9976621866226196,0.006595403596270661
brm_001,female,cxb001,105,0.9825788639840626,0.9847358465194702,0.9516047239303589,0.9971165060997009,0.007852192089615122
brm_001,female,jah001,231,0.9884316500647243,0.9889554977416992,0.9747145771980286,0.9972280859947205,0.004480537190412117
brm_001,female,jep001,153,0.9825945153735043,0.9827290773391724,0.9603939056396484,0.9970523715019226,0.006459041074177995
brm_001,female,knb001,561,0.98299737367613,0.9844999313354492,0.9467751383781433,0.9978907108306885,0.008376732992901707
brm_001,female,lcg001,276,0.9858443847169047,0.9865429699420929,0.9687252640724182,0.9967012405395508,0.00513453905937148
brm_001,female,lst001,231,0.9886769040838465,0.9899570345878601,0.9603721499443054,0.9981774091720581,0.00629276956686917
brm_001,female,mjd001,231,0.9779623860404605,0.9821087718009949,0.919964075088501,0.9980891942977905,0.014613798163555576
brm_001,female,mpt001,435,0.9868064578922315,0.9876596927642822,0.9679446220397949,0.9982832074165344,0.0053845640699404325
brm_001,female,rkk001,253,0.9834973347988053,0.9849148988723755,0.9550946354866028,0.9951866865158081,0.007462835442247125
brm_001,male,ajh001,496,0.9683550228514979,0.9772347509860992,0.8258189558982849,0.9948065280914307,0.025093337890387143
brm_001,male,apd001,253,0.9819393513702122,0.9833147525787354,0.944205641746521,0.9968045949935913,0.008807577985672346
brm_001,male,ars001,253,0.9761156359680085,0.9801199436187744,0.8917701244354248,0.9970963597297668,0.016339700635323303
brm_001,male,axm001,253,0.982912962380134,0.983704686164856,0.951206624507904,0.9976504445075989,0.0070757916637080405
brm_001,male,ikp001,136,0.9812596812844276,0.9822332561016083,0.9560754895210266,0.9964590072631836,0.007391921154351884
brm_001,male,ixj001,190,0.9857002054390155,0.9864601492881775,0.9710439443588257,0.9963781237602234,0.005635591275508322
brm_001,male,jxs001,300,0.9845449729760488,0.9856809377670288,0.9601002335548401,0.9960248470306396,0.007258308877388514
brm_001,male,mam001,171,0.9877161460313183,0.9880277514457703,0.9754207730293274,0.9954984188079834,0.0038366261040348915
brm_001,male,mrs001,300,0.9819414174556732,0.9830605089664459,0.9389549493789673,0.9985343813896179,0.008586290907147751
brm_001,male,wxh001,253,0.9768888797213438,0.9785007238388062,0.9411232471466064,0.9967709183692932,0.011182074583295166
crn_001,female,cxc001,153,0.9828570644839917,0.9842378497123718,0.9587777256965637,0.9966825842857361,0.008097048866716559
crn_001,female,dmc001,120,0.9780371357997258,0.9800423979759216,0.9372540712356567,0.995387613773346,0.01081974150262381
crn_001,female,ejr001,210,0.9787627339363099,0.981598973274231,0.9370898008346558,0.9940105080604553,0.010069151932677902
crn_001,female,exc001,153,0.9787326603153952,0.9807206988334656,0.9468270540237427,0.9961793422698975,0.01077566594935725
crn_001,female,jmc003,78,0.9937559786515359,0.9939577579498291,0.9863379001617432,0.9983289241790771,0.0024237748850328453
crn_001,female,jrs001,210,0.9782355226221539,0.9798368811607361,0.937634289264679,0.9977186918258667,0.010485058541500728
crn_001,female,lms002,120,0.9842900693416595,0.9857028722763062,0.9564377665519714,0.9959235787391663,0.0072738828534809905
crn_001,female,sar001,231,0.9846426640754138,0.9873870611190796,0.9369388818740845,0.9977381825447083,0.009557375609479966
crn_001,female,slm001,120,0.9909892141819,0.9917350709438324,0.9719418287277222,0.9973604679107666,0.004349775895411681
crn_001,male,acr001,231,0.9745243983867364,0.9763624668121338,0.9285672903060913,0.9953713417053223,0.011035862775692958
