threshold,accuracy,precision,recall,f1_score,far,frr,true_positives,true_negatives,false_positives,false_negatives
0.0,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.01,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.02,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.03,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.04,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.05,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.06,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.07,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.08,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.09,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.1,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.11,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.12,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.13,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.14,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.15,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.16,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.17,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.18,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.19,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.2,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.21,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.22,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.23,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.24,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.25,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.26,0.6940094813963511,0.6940094813963511,1.0,0.8193690637720489,1.0,0.0,91789,0,40470,0
0.27,0.6940170423184812,0.6940147287876726,1.0,0.8193727209023106,0.9999752903385224,0.0,91789,1,40469,0
0.28,0.6940397250848713,0.6940304714377529,1.0,0.8193836924889754,0.9999011613540895,0.0,91789,4,40466,0
0.29,0.6940775296955216,0.6940567107750473,1.0,0.8194019791197068,0.9997776130467012,0.0,91789,9,40461,0
0.3,0.6941682607610824,0.6941196932802977,1.0,0.81944587036384,0.9994810971089696,0.0,91789,21,40449,0
0.31,0.6941985044496026,0.694140689988959,1.0,0.8194605018234735,0.9993822584630591,0.0,91789,25,40445,0
0.32,0.6942438699823831,0.6941721874338265,1.0,0.8194824499926345,0.9992340004941932,0.0,91789,31,40439,0
0.33,0.6944253321135045,0.6942982058031527,1.0,0.8195702544275938,0.99864096861873,0.0,91789,55,40415,0
0.34,0.6945841114782358,0.6944085094149777,1.0,0.8196470987444859,0.9981220657276996,0.0,91789,76,40394,0
0.35000000000000003,0.6947806954536175,0.6945451243596631,1.0,0.8197422592946513,0.9974796145292809,0.0,91789,102,40368,0
0.36,0.6950528886502998,0.6947343722799555,1.0,0.8198740565405743,0.996590066716086,0.0,91789,138,40332,0
0.37,0.6953023990805919,0.6949079401611047,1.0,0.8199949079181872,0.995774647887324,0.0,91789,171,40299,0
0.38,0.6957258107198754,0.695202678138633,1.0,0.820200070592125,0.9943909068445762,0.0,91789,227,40243,0
0.39,0.696164344203419,0.6955082061618197,1.0,0.8204126687611445,0.9929577464788732,0.0,91789,285,40185,0
